first_key,version,region,season,vertical,click-through-event,first_dropped,impression
00713d76908caaf66ef14688fe8229dd,5fa282721f46ca2dfabd,Asia,Autumn,Uncategorized,0.0,1.0,1.0
015efcdd8de3698ffc4dad6dabd6664a,142dcad593832d3d624d,Uncategorized,Spring,Food & Drinks,1568.0,23607.0,54873.0
015efcdd8de3698ffc4dad6dabd6664a,142dcad593832d3d624d,Uncategorized,Spring,Uncategorized,0.0,6.0,26.0
015efcdd8de3698ffc4dad6dabd6664a,142dcad593832d3d624d,Uncategorized,Summer,Food & Drinks,0.0,0.0,6.0
015efcdd8de3698ffc4dad6dabd6664a,142dcad593832d3d624d,Uncategorized,Summer,Uncategorized,0.0,31.0,85.0
025974ed1a241f2957a0671cc7e23402,fc820fb3208d8ae4c4cb,Americas,Autumn,Uncategorized,763.0,5478.0,53181.0
025974ed1a241f2957a0671cc7e23402,fc820fb3208d8ae4c4cb,Americas,Summer,Uncategorized,44.0,396.0,4045.0
02a71629e3e52280b5f2b0e3739dd792,b4acd20dcdcbca8635f1,Asia,Autumn,Uncategorized,0.0,0.0,2.0
02cc1b5d61e0593435316315ad2e6c6f,fe137ec50be57d8c6170,Uncategorized,Spring,Business & Finance,222.0,1430.0,9823.0
02cc1b5d61e0593435316315ad2e6c6f,fe137ec50be57d8c6170,Uncategorized,Spring,Uncategorized,1.0,1.0,34.0
02cc1b5d61e0593435316315ad2e6c6f,fe137ec50be57d8c6170,Uncategorized,Summer,Business & Finance,0.0,0.0,6.0
02cc1b5d61e0593435316315ad2e6c6f,fe137ec50be57d8c6170,Uncategorized,Summer,Uncategorized,0.0,0.0,86.0
03030ef7ac15448057777032d26d5474,56fef66951b3fa0ffa4b,Uncategorized,Autumn,Uncategorized,0.0,6.0,788.0
03030ef7ac15448057777032d26d5474,56fef66951b3fa0ffa4b,Uncategorized,Hiver,Uncategorized,0.0,0.0,2.0
03030ef7ac15448057777032d26d5474,56fef66951b3fa0ffa4b,Uncategorized,Spring,Uncategorized,0.0,12.0,1826.0
03030ef7ac15448057777032d26d5474,56fef66951b3fa0ffa4b,Uncategorized,Summer,Uncategorized,0.0,2.0,1578.0
03030ef7ac15448057777032d26d5474,56fef66951b3fa0ffa4b,Uncategorized,Winter,Uncategorized,2.0,15.0,408.0
030656579715affc60e6fdb8cdc73b36,f5e2c6d71ede9356abea,Asia,Autumn,Uncategorized,709.0,16284.0,75490.0
030656579715affc60e6fdb8cdc73b36,f5e2c6d71ede9356abea,Asia,Hiver,Uncategorized,1060.0,12984.0,28404.0
030656579715affc60e6fdb8cdc73b36,f5e2c6d71ede9356abea,Asia,Summer,Uncategorized,0.0,1.0,1.0
030656579715affc60e6fdb8cdc73b36,f5e2c6d71ede9356abea,Asia,Winter,Uncategorized,603.0,7629.0,13464.0
